year,marathon,country,finishers,mean_time
2011,"Big Island
  International Marathon",US,180,282.78
2012,"Big Island
  International Marathon",US,227,286.18
2013,"Big Island
  International Marathon",US,205,285.97
2000,Big Sur Marathon,US,2392,260.94
2001,Big Sur Marathon,US,2403,265.2
2002,Big Sur Marathon,US,2517,267.54
2003,Big Sur Marathon,US,2580,262.56
2004,Big Sur Marathon,US,2863,263.94
2005,Big Sur Marathon,US,2877,264.21
2006,Big Sur Marathon,US,2963,269.12
2007,Big Sur Marathon,US,3156,265.99
2008,Big Sur Marathon,US,2435,260.38
2009,Big Sur Marathon,US,3084,274.12
2010,Big Sur Marathon,US,3452,276.1
2011,Big Sur Marathon,US,3246,272.93
2012,Big Sur Marathon,US,3387,275.24
2013,Big Sur Marathon,US,1654,239.18
2002,"Big Sur Trail
  Marathon",US,78,320.64
2003,"Big Sur Trail
  Marathon",US,77,300.41
2004,"Big Sur Trail
  Marathon",US,50,313.36
2005,"Big Sur Trail
  Marathon",US,53,293.25
2006,"Big Sur Trail
  Marathon",US,43,303.81
2007,"Big Sur Trail
  Marathon",US,74,306.17
2008,"Big Sur Trail
  Marathon",US,66,305.3
2009,"Big Sur Trail
  Marathon",US,64,321.19
2010,"Big Sur Trail
  Marathon",US,33,323.11
2011,"Big Sur Trail
  Marathon",US,68,310.41
2012,"Big Sur Trail
  Marathon",US,93,306.8
2013,"Big Sur Trail
  Marathon",US,78,321.27
2011,"Big Wild Life Runs
  Marathon",US,314,262
2012,"Big Wild Life Runs
  Marathon",US,330,265.55
2013,"Big Wild Life Runs
  Marathon",US,381,265.32
2004,Big-D Texas Marathon,US,600,284.91
2005,Big-D Texas Marathon,US,420,274.17
2006,Big-D Texas Marathon,US,450,295.83
2007,Big-D Texas Marathon,US,422,284.87
2008,Big-D Texas Marathon,US,501,282.29
2009,Big-D Texas Marathon,US,486,274.24
2010,Big-D Texas Marathon,US,598,281.69
2011,Big-D Texas Marathon,US,699,301.57
2012,Big-D Texas Marathon,US,689,277.78
2013,Big-D Texas Marathon,US,318,264.02
2009,"Bigfoot Snowshoe
  Festival",US,3,475.03
2010,"Bigfoot Snowshoe
  Festival",US,10,435.35
2003,Birch Bay Marathon,US,28,240.74
