city,location,number,first,last
Twisp,"Washington, Okanogan",956,9,6
Lake Shore,"Washington, Clark",7550,7,0
Keyport,"Washington, Kitsap",457,4,7
Lake Stevens,"Washington, Snohomish",32785,3,5
Starbuck,"Washington, Columbia",131,1,1
Harrah,"Washington, Yakima",636,6,6
Hansville,"Washington, Kitsap",3809,3,9
Carlsborg,"Washington, Clallam",762,7,2
Yelm,"Washington, Thurston",16504,1,4
Fenwick Island,"Delaware, Sussex",429,4,9
Delmar,"Delaware, Sussex",1782,1,2
Ardencroft,"Delaware, New Castle",238,2,8
Farmington,"Delaware, Kent",115,1,5
Felton,"Delaware, Kent",1398,1,8
Hartly,"Delaware, Kent",74,7,4
Pike Creek,"Delaware, New Castle",8740,8,0
Millville,"Delaware, Sussex",622,6,2
Highland Acres,"Delaware, Kent",3775,3,5
Rising Sun-Lebanon,"Delaware, Kent",3817,3,7
Little Creek,"Delaware, Kent",231,2,1
Magnolia,"Delaware, Kent",280,2,0
Greenville,"Delaware, New Castle",2305,2,5
Elsmere,"Delaware, New Castle",6045,6,5
Harrington,"Delaware, Kent",4553,4,3
Seaford,"Delaware, Sussex",7750,7,0
Dover Base Housing,"Delaware, Kent",3200,3,0
Dagsboro,"Delaware, Sussex",886,8,6
Milford,"Delaware, Sussex",20864,2,4
Bridgeville,"Delaware, Sussex",3798,3,8
Bellefonte,"Delaware, New Castle",1171,1,1
Smyrna,"Delaware, Kent",11584,1,4
Wilmington Manor,"Delaware, New Castle",7608,7,8
New Castle,"Delaware, New Castle",5348,5,8
Bowers,"Delaware, Kent",366,3,6
Bethel,"Delaware, Sussex",193,1,3
Selbyville,"Delaware, Sussex",2450,2,0
Houston,"Delaware, Kent",401,4,1
Woodside East,"Delaware, Kent",2569,2,9
Viola,"Delaware, Kent",164,1,4
Dewey Beach,"Delaware, Sussex",381,3,1
Newport,"Delaware, New Castle",1040,1,0
Bethany Beach,"Delaware, Sussex",1202,1,2
Edgemoor,"Delaware, New Castle",6178,6,8
Townsend,"Delaware, New Castle",2470,2,0
Georgetown,"Delaware, Sussex",10255,1,5
Kenton,"Delaware, Kent",263,2,3
Greenwood,"Delaware, Sussex",1097,1,7
North Star,"Delaware, New Castle",7390,7,0
Slaughter Beach,"Delaware, Sussex",234,2,4
Middletown,"Delaware, New Castle",34132,3,2
Blades,"Delaware, Sussex",1417,1,7
Frederica,"Delaware, Kent",824,8,4
Rehoboth Beach,"Delaware, Sussex",1496,1,6
Milton,"Delaware, Sussex",2890,2,0
Woodside,"Delaware, Kent",187,1,7
Bear,"Delaware, New Castle",20401,2,1
Wilmington,"Delaware, New Castle",71106,7,6
Pike Creek Valley,"Delaware, New Castle",10823,1,3
Rodney Village,"Delaware, Kent",1231,1,1
Henlopen Acres,"Delaware, Sussex",138,1,8
Frankford,"Delaware, Sussex",958,9,8
Millsboro,"Delaware, Sussex",10578,1,8
Glasgow,"Delaware, New Castle",15280,1,0
Clayton,"Delaware, Kent",3249,3,9
Cheswold,"Delaware, Kent",1582,1,2
Odessa,"Delaware, New Castle",366,3,6
Kent Acres,"Delaware, Kent",2369,2,9
St. Georges,"Delaware, New Castle",1033,1,3
Ardentown,"Delaware, New Castle",269,2,9
Arden,"Delaware, New Castle",448,4,8
Ellendale,"Delaware, Sussex",431,4,1
Lewes,"Delaware, Sussex",27087,2,7
Laurel,"Delaware, Sussex",4320,4,0
Brookside,"Delaware, New Castle",13554,1,4
Wyoming,"Delaware, Kent",1503,1,3
Claymont,"Delaware, New Castle",8707,8,7
Newark,"Delaware, New Castle",33858,3,8
Long Neck,"Delaware, Sussex",2716,2,6
Camden,"Delaware, Kent",3493,3,3
Leipsic,"Delaware, Kent",197,1,7
Delaware City,"Delaware, New Castle",1828,1,8
Ocean View,"Delaware, Sussex",13809,1,9
South Bethany,"Delaware, Sussex",510,5,0
Hockessin,"Delaware, New Castle",13672,1,2
Riverview,"Delaware, Kent",2728,2,8
Dover,"Delaware, Kent",115352,1,2
Washington,"District of Columbia, District of Columbia",5289420,5,0
Stone Lake,"Wisconsin, Washburn",181,1,1
Nelson,"Wisconsin, Buffalo",351,3,1
Fennimore,"Wisconsin, Grant",2482,2,2
Chenequa,"Wisconsin, Waukesha",593,5,3
Helenville,"Wisconsin, Jefferson",187,1,7
Tichigan,"Wisconsin, Racine",5355,5,5
Kekoskee,"Wisconsin, Dodge",156,1,6
Wonewoc,"Wisconsin, Juneau",792,7,2
St. Peter,"Wisconsin, Fond du Lac",1430,1,0
Black River Falls,"Wisconsin, Jackson",5490,5,0
Shiocton,"Wisconsin, Outagamie",920,9,0
Three Lakes,"Wisconsin, Oneida",446,4,6
Waldo,"Wisconsin, Sheboygan",503,5,3
North Prairie,"Wisconsin, Waukesha",2222,2,2
Mattoon,"Wisconsin, Shawano",418,4,8
Almond,"Wisconsin, Portage",432,4,2
New Auburn,"Wisconsin, Chippewa",571,5,1
Hustisford,"Wisconsin, Dodge",1083,1,3
Little Chute,"Wisconsin, Outagamie",11403,1,3
Birnamwood,"Wisconsin, Shawano",788,7,8
Lodi,"Wisconsin, Columbia",3021,3,1
Whitehall,"Wisconsin, Trempealeau",1583,1,3
West Baraboo,"Wisconsin, Sauk",1428,1,8
Lomira,"Wisconsin, Dodge",2374,2,4
Brownsville,"Wisconsin, Dodge",574,5,4
Bloomer,"Wisconsin, Chippewa",3309,3,9
Wabeno,"Wisconsin, Forest",371,3,1
Whitewater,"Wisconsin, Walworth",14374,1,4
Reedsville,"Wisconsin, Manitowoc",1156,1,6
Amherst,"Wisconsin, Portage",1039,1,9
Monona,"Wisconsin, Dane",8104,8,4
River Falls,"Wisconsin, Pierce",15873,1,3
Delavan,"Wisconsin, Walworth",12003,1,3
Greendale,"Wisconsin, Milwaukee",14159,1,9
Couderay,"Wisconsin, Sawyer",85,8,5
Berlin,"Wisconsin, Green Lake",4769,4,9
Grantsburg,"Wisconsin, Burnett",1293,1,3
Burnett,"Wisconsin, Dodge",242,2,2
Lakewood,"Wisconsin, Oconto",344,3,4
Wausau,"Wisconsin, Marathon",73933,7,3
Livingston,"Wisconsin, Grant",643,6,3
Hillsboro,"Wisconsin, Vernon",1402,1,2
Exeland,"Wisconsin, Sawyer",192,1,2
Whitelaw,"Wisconsin, Manitowoc",740,7,0
East Troy,"Wisconsin, Walworth",4355,4,5
Oconto,"Wisconsin, Oconto",4196,4,6
Elkhorn,"Wisconsin, Walworth",12322,1,2
Nashotah,"Wisconsin, Waukesha",1367,1,7
Rewey,"Wisconsin, Iowa",288,2,8
Ferryville,"Wisconsin, Crawford",175,1,5
Neillsville,"Wisconsin, Clark",2416,2,6
Sun Prairie,"Wisconsin, Dane",32894,3,4
Wilton,"Wisconsin, Monroe",500,5,0
Eleva,"Wisconsin, Trempealeau",665,6,5
Menomonie,"Wisconsin, Dunn",18025,1,5
Wales,"Wisconsin, Waukesha",2577,2,7
Manitowoc,"Wisconsin, Manitowoc",44932,4,2
Ashippun,"Wisconsin, Dodge",1030,1,0
New Lisbon,"Wisconsin, Juneau",2507,2,7
New Odanah,"Wisconsin, Ashland",466,4,6
Sauk City,"Wisconsin, Sauk",3468,3,8
Pulcifer,"Wisconsin, Shawano",117,1,7
New Berlin,"Wisconsin, Waukesha",39740,3,0
Milladore,"Wisconsin, Wood",267,2,7
Mason,"Wisconsin, Bayfield",91,9,1
Oconomowoc Lake,"Wisconsin, Waukesha",595,5,5
Independence,"Wisconsin, Trempealeau",1308,1,8
Maribel,"Wisconsin, Manitowoc",336,3,6
Oak Creek,"Wisconsin, Milwaukee",36354,3,4
Van Dyne,"Wisconsin, Fond du Lac",190,1,0
Pence,"Wisconsin, Iron",128,1,8
Saukville,"Wisconsin, Ozaukee",4419,4,9
Clyman,"Wisconsin, Dodge",404,4,4
Wild Rose,"Wisconsin, Waushara",703,7,3
Reedsburg,"Wisconsin, Sauk",9476,9,6
Patch Grove,"Wisconsin, Grant",197,1,7
Paddock Lake,"Wisconsin, Kenosha",2978,2,8
New Holstein,"Wisconsin, Calumet",3115,3,5
Lake Hallie,"Wisconsin, Chippewa",6716,6,6
Hewitt,"Wisconsin, Wood",795,7,5
Menomonee Falls,"Wisconsin, Waukesha",37443,3,3
Eastman,"Wisconsin, Crawford",407,4,7
Pella,"Wisconsin, Shawano",180,1,0
Princeton,"Wisconsin, Green Lake",1170,1,0
Melvina,"Wisconsin, Monroe",107,1,7
Peshtigo,"Wisconsin, Marinette",3314,3,4
Lake Tomahawk,"Wisconsin, Oneida",236,2,6
Long Lake,"Wisconsin, Florence",54,5,4
Maple Bluff,"Wisconsin, Dane",1331,1,1
Mishicot,"Wisconsin, Manitowoc",1388,1,8
Iron Ridge,"Wisconsin, Dodge",899,8,9
Johnson Creek,"Wisconsin, Jefferson",2976,2,6
Juneau,"Wisconsin, Dodge",2605,2,5
Kohler,"Wisconsin, Sheboygan",2081,2,1
Thornton,"Wisconsin, Shawano",63,6,3
Seymour,"Wisconsin, Outagamie",3508,3,8
Brandon,"Wisconsin, Fond du Lac",854,8,4
Camp Douglas,"Wisconsin, Juneau",624,6,4
Hatley,"Wisconsin, Marathon",595,5,5
Lake Ripley,"Wisconsin, Jefferson",1642,1,2
Bruce,"Wisconsin, Rusk",715,7,5
Hammond,"Wisconsin, St. Croix",1891,1,1
Maiden Rock,"Wisconsin, Pierce",116,1,6
Wind Point,"Wisconsin, Racine",1707,1,7
Minong,"Wisconsin, Washburn",506,5,6
Lewis,"Wisconsin, Polk",129,1,9
Arkdale,"Wisconsin, Adams",112,1,2
Wautoma,"Wisconsin, Waushara",2483,2,3
Black Earth,"Wisconsin, Dane",1403,1,3
Kewaunee,"Wisconsin, Kewaunee",2547,2,7
Cumberland,"Wisconsin, Barron",2119,2,9
North Bay,"Wisconsin, Racine",238,2,8
Tilleda,"Wisconsin, Shawano",92,9,2
Iron Belt,"Wisconsin, Iron",200,2,0
Deerfield,"Wisconsin, Dane",2529,2,9
DeForest,"Wisconsin, Dane",10340,1,0
Fountain City,"Wisconsin, Buffalo",861,8,1
Bancroft,"Wisconsin, Portage",492,4,2
Rothschild,"Wisconsin, Marathon",5325,5,5
Poy Sippi,"Wisconsin, Waushara",328,3,8
New London,"Wisconsin, Waupaca",7448,7,8
Plum City,"Wisconsin, Pierce",604,6,4
Lancaster,"Wisconsin, Grant",3562,3,2
Rockdale,"Wisconsin, Dane",216,2,6
Doylestown,"Wisconsin, Columbia",292,2,2
Wyeville,"Wisconsin, Monroe",143,1,3
Cassville,"Wisconsin, Grant",904,9,4
Wauwatosa,"Wisconsin, Milwaukee",48277,4,7
Diaperville,"Wisconsin, Ashland",60,6,0
Casco,"Wisconsin, Kewaunee",584,5,4
Theresa,"Wisconsin, Dodge",1213,1,3
Centuria,"Wisconsin, Polk",914,9,4
Caledonia,"Wisconsin, Racine",25002,2,2
Mole Lake,"Wisconsin, Forest",552,5,2
Edgar,"Wisconsin, Marathon",1455,1,5
Nekoosa,"Wisconsin, Wood",2429,2,9
Sullivan,"Wisconsin, Jefferson",672,6,2
Greenleaf,"Wisconsin, Brown",946,9,6
Tony,"Wisconsin, Rusk",103,1,3
Junction City,"Wisconsin, Portage",431,4,1
Bohners Lake,"Wisconsin, Racine",2094,2,4
Rockland,"Wisconsin, La Crosse",647,6,7
Boscobel,"Wisconsin, Grant",3148,3,8
Chili,"Wisconsin, Clark",255,2,5
Kennan,"Wisconsin, Price",122,1,2
Plover,"Wisconsin, Portage",12772,1,2
Hatfield,"Wisconsin, Jackson",177,1,7
Bell Center,"Wisconsin, Crawford",112,1,2
Antigo,"Wisconsin, Langlade",7708,7,8
Rome,"Wisconsin, Jefferson",782,7,2
Spencer,"Wisconsin, Marathon",1910,1,0
Lake Delton,"Wisconsin, Sauk",5624,5,4
Hixton,"Wisconsin, Jackson",422,4,2
Cadott,"Wisconsin, Chippewa",1428,1,8
Hingham,"Wisconsin, Sheboygan",959,9,9
Cornell,"Wisconsin, Chippewa",1419,1,9
Port Wing,"Wisconsin, Bayfield",172,1,2
Oakdale,"Wisconsin, Monroe",292,2,2
Sussex,"Wisconsin, Waukesha",10819,1,9
Galesville,"Wisconsin, Trempealeau",1577,1,7
Dellwood,"Wisconsin, Adams",646,6,6
Middle Village,"Wisconsin, Menominee",245,2,5
Cochrane,"Wisconsin, Buffalo",420,4,0
Muskego,"Wisconsin, Waukesha",24996,2,6
Greenwood,"Wisconsin, Clark",1005,1,5
Whitefish Bay,"Wisconsin, Milwaukee",13950,1,0
Altoona,"Wisconsin, Eau Claire",7680,7,0
Vesper,"Wisconsin, Wood",558,5,8
Rice Lake,"Wisconsin, Barron",9393,9,3
Columbus,"Wisconsin, Columbia",6675,6,5
Campbellsport,"Wisconsin, Fond du Lac",1970,1,0
New Post,"Wisconsin, Sawyer",258,2,8
Warrens,"Wisconsin, Monroe",349,3,9
Marshall,"Wisconsin, Dane",3944,3,4
Allenton,"Wisconsin, Washington",982,9,2
Brodhead,"Wisconsin, Green",3463,3,3
Elk Mound,"Wisconsin, Dunn",875,8,5
Clam Lake,"Wisconsin, Ashland",21,2,1
Germantown,"Wisconsin, Washington",19982,1,2
Bloomington,"Wisconsin, Grant",707,7,7
Crivitz,"Wisconsin, Marinette",945,9,5
Wittenberg,"Wisconsin, Shawano",1017,1,7
Danbury,"Wisconsin, Burnett",149,1,9
Drummond,"Wisconsin, Bayfield",119,1,9
Gilmanton,"Wisconsin, Buffalo",131,1,1
Mazomanie,"Wisconsin, Dane",3032,3,2
Poynette,"Wisconsin, Columbia",2494,2,4
Fairchild,"Wisconsin, Eau Claire",589,5,9
Elm Grove,"Wisconsin, Waukesha",6170,6,0
Laona,"Wisconsin, Forest",415,4,5
Plymouth,"Wisconsin, Sheboygan",8900,8,0
Port Washington,"Wisconsin, Ozaukee",11762,1,2
Krakow,"Wisconsin, Shawano",381,3,1
Howards Grove,"Wisconsin, Sheboygan",3265,3,5
Spring Green,"Wisconsin, Sauk",1638,1,8
Mount Hope,"Wisconsin, Grant",221,2,1
Omro,"Wisconsin, Winnebago",3420,3,0
Kaukauna,"Wisconsin, Outagamie",16086,1,6
Woodman,"Wisconsin, Grant",130,1,0
Bellevue,"Wisconsin, Brown",15687,1,7
Bluffview,"Wisconsin, Sauk",531,5,1
Legend Lake,"Wisconsin, Menominee",1269,1,9
Cambria,"Wisconsin, Columbia",753,7,3
Fort Atkinson,"Wisconsin, Jefferson",21299,2,9
Bay City,"Wisconsin, Pierce",496,4,6
River Hills,"Wisconsin, Milwaukee",1590,1,0
Loyal,"Wisconsin, Clark",1238,1,8
Fitchburg,"Wisconsin, Dane",29485,2,5
Norwalk,"Wisconsin, Monroe",631,6,1
Chippewa Falls,"Wisconsin, Chippewa",14035,1,5
Burlington,"Wisconsin, Racine",24687,2,7
Appleton,"Wisconsin, Outagamie",222222,2,2
Edgerton,"Wisconsin, Rock",7363,7,3
Scandinavia,"Wisconsin, Waupaca",354,3,4
Sturtevant,"Wisconsin, Racine",6967,6,7
Knowlton,"Wisconsin, Marathon",140,1,0
Elroy,"Wisconsin, Juneau",1365,1,5
Rosholt,"Wisconsin, Portage",488,4,8
Chilton,"Wisconsin, Calumet",3480,3,0
Barneveld,"Wisconsin, Iowa",1239,1,9
Arcadia,"Wisconsin, Trempealeau",3120,3,0
Coon Valley,"Wisconsin, Vernon",784,7,4
Franklin,"Wisconsin, Milwaukee",36143,3,3
Blue River,"Wisconsin, Grant",419,4,9
Montreal,"Wisconsin, Iron",760,7,0
West Bend,"Wisconsin, Washington",69577,6,7
Elmwood Park,"Wisconsin, Racine",509,5,9
Athens,"Wisconsin, Marathon",1088,1,8
New Richmond,"Wisconsin, St. Croix",8859,8,9
Baileys Harbor,"Wisconsin, Door",209,2,9
Merrimac,"Wisconsin, Sauk",443,4,3
Oregon,"Wisconsin, Dane",12448,1,8
Downing,"Wisconsin, Dunn",261,2,1
Catawba,"Wisconsin, Price",102,1,2
Bowler,"Wisconsin, Shawano",289,2,9
Wisconsin Rapids,"Wisconsin, Wood",28277,2,7
Tustin,"Wisconsin, Waushara",122,1,2
Cuba City,"Wisconsin, Grant",2043,2,3
Webster,"Wisconsin, Burnett",622,6,2
Lone Rock,"Wisconsin, Richland",851,8,1
Pittsville,"Wisconsin, Wood",838,8,8
Shorewood Hills,"Wisconsin, Dane",2024,2,4
Fox Point,"Wisconsin, Milwaukee",6670,6,0
Winter,"Wisconsin, Sawyer",300,3,0
Lake Geneva,"Wisconsin, Walworth",15078,1,8
Coleman,"Wisconsin, Marinette",696,6,6
Springfield,"Wisconsin, Walworth",202,2,2
Marengo,"Wisconsin, Ashland",127,1,7
Siren,"Wisconsin, Burnett",776,7,6
Argonne,"Wisconsin, Forest",185,1,5
Packwaukee,"Wisconsin, Marquette",168,1,8
Dodgeville,"Wisconsin, Iowa",4811,4,1
Marathon City,"Wisconsin, Marathon",1507,1,7
St. Joseph,"Wisconsin, La Crosse",516,5,6
Cascade,"Wisconsin, Sheboygan",699,6,9
Turtle Lake,"Wisconsin, Barron",1011,1,1
Green Valley,"Wisconsin, Shawano",87,8,7
Beloit,"Wisconsin, Rock",63498,6,8
Bear Creek,"Wisconsin, Outagamie",443,4,3
Glen Haven,"Wisconsin, Grant",86,8,6
South Milwaukee,"Wisconsin, Milwaukee",20988,2,8
Hager City,"Wisconsin, Pierce",283,2,3
Saxon,"Wisconsin, Iron",76,7,6
Green Bay,"Wisconsin, Brown",208625,2,5
Browntown,"Wisconsin, Green",273,2,3
Barron,"Wisconsin, Barron",3190,3,0
Prairie du Sac,"Wisconsin, Sauk",8523,8,3
Suamico,"Wisconsin, Brown",12816,1,6
Hancock,"Wisconsin, Waushara",406,4,6
Ettrick,"Wisconsin, Trempealeau",517,5,7
Ridgeland,"Wisconsin, Dunn",275,2,5
Stockholm,"Wisconsin, Pepin",64,6,4
Weyauwega,"Wisconsin, Waupaca",1817,1,7
Cross Plains,"Wisconsin, Dane",4241,4,1
Jackson,"Wisconsin, Washington",7107,7,7
Barronett,"Wisconsin, Barron",137,1,7
Okauchee Lake,"Wisconsin, Waukesha",4399,4,9
Cobb,"Wisconsin, Iowa",451,4,1
Eagle,"Wisconsin, Waukesha",2076,2,6
Eagle Lake,"Wisconsin, Racine",1149,1,9
Birch Hill,"Wisconsin, Ashland",327,3,7
Tomahawk,"Wisconsin, Lincoln",2737,2,7
Ripon,"Wisconsin, Fond du Lac",8008,8,8
Gordon,"Wisconsin, Douglas",213,2,3
Merrill,"Wisconsin, Lincoln",9750,9,0
Potter,"Wisconsin, Calumet",242,2,2
Lac La Belle,"Wisconsin, Waukesha",292,2,2
Cottage Grove,"Wisconsin, Dane",6939,6,9
Ashwaubenon,"Wisconsin, Brown",17271,1,1
Balsam Lake,"Wisconsin, Polk",981,9,1
Curtiss,"Wisconsin, Clark",212,2,2
Sandy Hook,"Wisconsin, Grant",405,4,5
Glenbeulah,"Wisconsin, Sheboygan",459,4,9
Taycheedah,"Wisconsin, Fond du Lac",908,9,8
Hartford,"Wisconsin, Washington",15064,1,4
St. Cloud,"Wisconsin, Fond du Lac",463,4,3
Milton,"Wisconsin, Rock",5581,5,1
West Salem,"Wisconsin, La Crosse",5026,5,6
Tigerton,"Wisconsin, Shawano",709,7,9
Washburn,"Wisconsin, Bayfield",2048,2,8
Adell,"Wisconsin, Sheboygan",511,5,1
Wausaukee,"Wisconsin, Marinette",561,5,1
Phillips,"Wisconsin, Price",1361,1,1
Goodman,"Wisconsin, Marinette",237,2,7
Jefferson,"Wisconsin, Jefferson",8015,8,5
Spring Valley,"Wisconsin, Pierce",1372,1,2
White Lake,"Wisconsin, Langlade",347,3,7
Verona,"Wisconsin, Dane",13107,1,7
Fox Lake,"Wisconsin, Dodge",1460,1,0
Valders,"Wisconsin, Manitowoc",925,9,5
Wauzeka,"Wisconsin, Crawford",728,7,8
Hurley,"Wisconsin, Iron",1441,1,1
Madison,"Wisconsin, Dane",439553,4,3
West Allis,"Wisconsin, Milwaukee",59934,5,4
Maine,"Wisconsin, Marathon",2348,2,8
Hustler,"Wisconsin, Juneau",189,1,9
Amery,"Wisconsin, Polk",2754,2,4
Caroline,"Wisconsin, Shawano",228,2,8
Reeseville,"Wisconsin, Dodge",679,6,9
Iron River,"Wisconsin, Bayfield",764,7,4
Bagley,"Wisconsin, Grant",374,3,4
Gratiot,"Wisconsin, Lafayette",233,2,3
Osceola,"Wisconsin, Polk",3508,3,8
Neopit,"Wisconsin, Menominee",908,9,8
New Glarus,"Wisconsin, Green",2152,2,2
Stanley,"Wisconsin, Chippewa",3499,3,9
Stetsonville,"Wisconsin, Taylor",520,5,0
Montello,"Wisconsin, Marquette",1445,1,5
Prentice,"Wisconsin, Price",612,6,2
Mondovi,"Wisconsin, Buffalo",2632,2,2
Herbster,"Wisconsin, Bayfield",87,8,7
Clayton,"Wisconsin, Polk",550,5,0
Como,"Wisconsin, Walworth",2479,2,9
Brown Deer,"Wisconsin, Milwaukee",11964,1,4
Woodruff,"Wisconsin, Oneida",605,6,5
Boaz,"Wisconsin, Richland",150,1,0
Marquette,"Wisconsin, Green Lake",152,1,2
Endeavor,"Wisconsin, Marquette",461,4,1
Mauston,"Wisconsin, Juneau",4371,4,1
Oliver,"Wisconsin, Douglas",410,4,0
Howard,"Wisconsin, Brown",19634,1,4
Port Edwards,"Wisconsin, Wood",1778,1,8
Fox Crossing,"Wisconsin, Winnebago",10980,1,0
Westboro,"Wisconsin, Taylor",145,1,5
Gays Mills,"Wisconsin, Crawford",518,5,8
Sobieski,"Wisconsin, Oconto",366,3,6
Spooner,"Wisconsin, Washburn",2588,2,8
Elderon,"Wisconsin, Marathon",179,1,9
Big Bend,"Wisconsin, Waukesha",1378,1,8
Lannon,"Wisconsin, Waukesha",1200,1,0
Glen Flora,"Wisconsin, Rusk",87,8,7
Eureka,"Wisconsin, Winnebago",560,5,0
Poplar,"Wisconsin, Douglas",602,6,2
Sturgeon Bay,"Wisconsin, Door",8405,8,5
Tainter Lake,"Wisconsin, Dunn",2638,2,8
Abbotsford,"Wisconsin, Clark",3888,3,8
Harrison,"Wisconsin, Calumet",9941,9,1
Darien,"Wisconsin, Walworth",1594,1,4
Glidden,"Wisconsin, Ashland",380,3,0
Sheldon,"Wisconsin, Rusk",218,2,8
Kimberly,"Wisconsin, Outagamie",6790,6,0
Greenbush,"Wisconsin, Sheboygan",135,1,5
Iola,"Wisconsin, Waupaca",1243,1,3
Yuba,"Wisconsin, Richland",69,6,9
North Fond du Lac,"Wisconsin, Fond du Lac",5070,5,0
Allouez,"Wisconsin, Brown",13886,1,6
Dunbar,"Wisconsin, Marinette",74,7,4
Auburndale,"Wisconsin, Wood",671,6,1
Soldiers Grove,"Wisconsin, Crawford",550,5,0
La Farge,"Wisconsin, Vernon",763,7,3
McFarland,"Wisconsin, Dane",8449,8,9
Waumandee,"Wisconsin, Buffalo",77,7,7
Potosi,"Wisconsin, Grant",670,6,0
Fall River,"Wisconsin, Columbia",1704,1,4
Cambridge,"Wisconsin, Jefferson",2685,2,5
Gresham,"Wisconsin, Shawano",566,5,6
Zoar,"Wisconsin, Menominee",94,9,4
Wrightstown,"Wisconsin, Brown",3040,3,0
Two Rivers,"Wisconsin, Manitowoc",11153,1,3
Somerset,"Wisconsin, St. Croix",2743,2,3
Delavan Lake,"Wisconsin, Walworth",2467,2,7
Clintonville,"Wisconsin, Waupaca",4285,4,5
Stoddard,"Wisconsin, Vernon",822,8,2
Benton,"Wisconsin, Lafayette",947,9,7
Wisconsin Dells,"Wisconsin, Columbia",2978,2,8
Rhinelander,"Wisconsin, Oneida",8738,8,8
Redgranite,"Wisconsin, Waushara",2138,2,8
Taylor,"Wisconsin, Jackson",470,4,0
Sextonville,"Wisconsin, Richland",371,3,1
Rock Springs,"Wisconsin, Sauk",363,3,3
Angelica,"Wisconsin, Shawano",99,9,9
Franks Field,"Wisconsin, Ashland",173,1,3
Coloma,"Wisconsin, Waushara",446,4,6
Fond du Lac,"Wisconsin, Fond du Lac",54629,5,9
Dousman,"Wisconsin, Waukesha",2314,2,4
Thorp,"Wisconsin, Clark",1623,1,3
Cameron,"Wisconsin, Barron",1784,1,4
Rib Lake,"Wisconsin, Taylor",879,8,9
Richland Center,"Wisconsin, Richland",4841,4,1
Somers,"Wisconsin, Kenosha",8289,8,9
Osseo,"Wisconsin, Trempealeau",1675,1,5
Frederic,"Wisconsin, Polk",1103,1,3
Oakfield,"Wisconsin, Fond du Lac",1070,1,0
Alma,"Wisconsin, Buffalo",715,7,5
Cable,"Wisconsin, Bayfield",207,2,7
Potter Lake,"Wisconsin, Walworth",1174,1,4
Bangor,"Wisconsin, La Crosse",1471,1,1
Kenosha,"Wisconsin, Kenosha",124888,1,8
Marion,"Wisconsin, Waupaca",1199,1,9
Kiel,"Wisconsin, Manitowoc",6974,6,4
Dickeyville,"Wisconsin, Grant",1024,1,4
Dalton,"Wisconsin, Green Lake",239,2,9
Augusta,"Wisconsin, Eau Claire",1514,1,4
Boyceville,"Wisconsin, Dunn",1096,1,6
Blanchardville,"Wisconsin, Lafayette",798,7,8
Merrillan,"Wisconsin, Jackson",527,5,7
Milltown,"Wisconsin, Polk",882,8,2
Random Lake,"Wisconsin, Sheboygan",1573,1,3
Racine,"Wisconsin, Racine",131467,1,7
Prairie Farm,"Wisconsin, Barron",443,4,3
Pleasant Prairie,"Wisconsin, Kenosha",20762,2,2
Arena,"Wisconsin, Iowa",827,8,7
Conrath,"Wisconsin, Rusk",93,9,3
Blue Mounds,"Wisconsin, Dane",971,9,1
